"ID","Arthromyces matolae 10171TJB","Arthromyces matolae 10185TJB","Asterophora lycoperdoides","Asterophora parasitica","Blastosporella zonata","Calocybe carnea","Calocybe cyanea","Calocybe gangraenosa","Hypsizygus ulmarius","Lyophyllum decastes","Lyophyllum semitale","Lyophyllum shimeji","Myochromella boudieri","Sphagnurus paluster","Tephrocybe rancida Trssc25","Tephrocybe rancida Trssc53","Tephrocybe sp1. 10521TJB","Tephrocybe sp2. 9174TJB","Tephrocybe sp3. HNL501043","Tephrocybe sp4. 9980TJB","Tephrocybe sp5. DS06151","Termitomyces bulborhizus","Termitomyces cryptogamus","Termitomyces cryptogamus T132","Termitomyces eurrhizus","Termitomyces fragilis","Termitomyces heimii","Termitomyces microcarpus","Termitomyces reticulatus","Termitomyces robustus","Termitomyces sagittiformis","Termitomyces sp. DKA19","Termitomyces sp. DKA64","Termitomyces sp. JCM13351","Termitomyces sp. K1Ag","Termitomyces sp. MG145","Termitomyces sp. MG16","Termitomyces sp. Mi166","Termitomyces sp. Mx157","Termitomyces sp. Od127","Termitomyces sp. T108a","Termitomyces sp. T27","Termitomyces sp. T70a","Termitomyces striatus","Termitomyces titanicus","Tricholomella constricta"
"GH92","2","4","3","3","1","2","3","3","1","3","6","3","4","2","6","6","5","4","4","2","3","1","3","3","4","1","2","3","3","1","3","2","2","1","3","2","0","3","1","1","3","4","2","3","3","4"
"GH95","1","1","1","1","1","0","1","1","0","1","1","0","2","2","2","2","0","0","0","1","0","0","0","0","0","0","1","1","1","0","1","2","1","0","0","2","0","1","1","1","1","1","0","1","1","1"
"GT1","0","0","0","0","1","0","0","0","0","2","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","1","0","2","0","1","0","1","0","0","1","0","1","0","0","0","0","0","1","0","0","1"
"GT15","3","2","3","1","0","2","0","2","3","2","1","0","0","1","5","0","3","0","1","2","2","1","1","1","0","0","1","1","1","1","0","3","1","1","3","1","0","1","0","1","0","2","0","2","1","3"
"GT17","0","0","0","1","0","1","1","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"GT2","14","14","13","16","13","12","15","13","18","15","18","15","16","17","17","18","16","14","14","14","21","14","12","14","13","12","13","12","12","12","13","11","14","14","13","15","11","15","12","10","15","14","12","14","13","15"
"GT20","3","1","2","2","2","3","1","3","1","3","2","2","2","3","3","4","2","2","2","2","1","2","2","2","3","2","3","2","3","2","2","1","1","1","2","2","3","2","2","2","3","1","1","1","2","2"
"GT21","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"GT22","1","2","3","1","1","2","1","2","2","3","2","2","2","1","2","2","1","3","1","1","2","1","1","1","1","1","1","0","0","0","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2"
"GT24","0","0","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","0","1","1","1","0","1","0","1","1","1","1","1","0","1","1","1","1"
"GT3","1","1","1","1","0","1","2","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1"
"GT32","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1"
"GT33","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","0","1","1","1","1","0","0","1","1","1","1"
"GT35","1","0","1","1","0","0","1","1","0","0","1","1","1","1","1","1","2","0","1","1","1","1","1","1","1","1","1","0","0","1","0","0","0","0","1","1","1","0","1","1","0","0","1","0","0","1"
"GT39","1","2","3","3","3","2","1","3","3","3","5","3","3","4","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","2","3","3","3","3","3","2","3","2","2","3","3","4","3","3","3"
